ISACCO,1999,35,m
JASON,1999,35,m
PARIDE,1999,35,m
SABATO,1999,35,m
SAMI,1999,35,m
ANTIMO,1999,34,m
CLEMENTE,1999,34,m
ENNIO,1999,34,m
FEDERICA,1999,34,m
SABATINO,1999,34,m
ALESSANDRO MARIA,1999,33,m
ANTONIO FRANCESCO,1999,33,m
CATELLO,1999,33,m
GIUSEPPE ANTONIO,1999,33,m
JORDAN,1999,33,m
MANFREDI,1999,33,m
MARCO ANTONIO,1999,33,m
MARKUS,1999,33,m
MATTEO PIO,1999,33,m
NIKOLAS,1999,33,m
OSSAMA,1999,33,m
REDA,1999,33,m
RICCARDO MARIA,1999,33,m
SABINO,1999,33,m
SILVANO,1999,33,m
ALESSANDRA,1999,32,m
ANDREA PIO,1999,32,m
AYMAN,1999,32,m
BENJAMIN,1999,32,m
FORTUNATO,1999,32,m
ANTONIO MARIA,1999,31,m
FEDERICO MARIA,1999,31,m
ITALO,1999,31,m
MANOLO,1999,31,m
DEVIS,1999,30,m
JOEL,1999,30,m
PABLO,1999,30,m
ROMEO,1999,30,m
YOUNES,1999,30,m
ACHILLE,1999,29,m
ALEANDRO,1999,29,m
ANDRE,1999,29,m
AXEL,1999,29,m
DOMENICO PIO,1999,29,m
EMANUELE PIO,1999,29,m
GABRIELE MARIA,1999,29,m
GIONA,1999,29,m
MICHEAL,1999,29,m
OTTAVIO,1999,29,m
OUSSAMA,1999,29,m
ROBERT,1999,29,m
BILAL,1999,28,m
GEREMIA,1999,28,m
PIETRO PAOLO,1999,28,m
PIO FRANCESCO,1999,28,m
BRANDON,1999,27,m
CRESCENZO,1999,27,m
DEVID,1999,27,m
ENRICO MARIA,1999,27,m
MARINO,1999,27,m
SARA,1999,27,m
ANDREA MARIA,1999,26,m
BADR,1999,26,m
BRANDO,1999,26,m
FRACESCO,1999,26,m
GIANMARIO,1999,26,m
LIVIO,1999,26,m
ONOFRIO,1999,26,m
PASQUALE PIO,1999,26,m
PIERANGELO,1999,26,m
ZACCARIA,1999,26,m
ZENO,1999,26,m
ADOLFO,1999,25,m
ANTONIO GIUSEPPE,1999,25,m
ARMIN,1999,25,m
DOMINIK,1999,25,m
